"feature_name","category","data_required","calculation_idea","bullish_meaning","bearish_meaning","hard_or_soft","used_by_hypotheses","NT_implementation_notes","backtest_notes"
"exhaustion_score","exhaustion","edge volume; levels; risk","Score low edge volume, level quality, bar size, prior failure.","Higher long exhaustion quality.","Higher short exhaustion quality.","soft","VH001;VH002;VH018","Keep separate from total_score.","Useful for ablation."
"edge_volume_percentile","exhaustion","volumetric history","Percentile rank of edge volume versus recent edge volumes.","Low percentile at low supports long.","Low percentile at high supports short.","soft","VH001","Alternative to fixed 10.","May generalize better across instruments."
"bar_delta","delta","bid/ask volume","Ask volume minus bid volume.","Negative at low can be absorbed if price holds.","Positive at high can be trap if price fails.","soft","VH003;VH004;VH005;VH006","Use NinjaTrader delta source if available.","Delta sign alone is not a signal."
"delta_percentile","delta","bar delta history","Percentile of current delta over lookback.","Extreme negative at low can support absorption after failure.","Extreme positive at high can support trap after failure.","soft","VH004;VH005;VH009;VH010","Use separate positive/negative percentiles or z-score.","Normalize per instrument/session."
"delta_zscore","delta","bar delta history","Z-score of bar delta over lookback.","Extreme negative context.","Extreme positive context.","soft","VH004;VH005","Guard against division by low variance.","Compare percentile vs z-score."
"delta_weakening_score","delta","delta sequence; OHLC","Measures weakening delta into repeated extreme.","Sellers weakening into low.","Buyers weakening into high.","soft","VH006;VH013","Compare to prior same-direction push.","False positives in chop."
"cum_delta_divergence_flag","delta","cumulative delta; OHLC","Price extreme not confirmed by cumulative delta extreme.","Bullish at lower low with higher cum delta.","Bearish at higher high with lower cum delta.","soft","VH006","Optional if cumulative delta available.","Cap below A+ standalone."
"price_delta_efficiency","delta","OHLC; delta","Price progress per unit of delta/effort.","Low downside progress despite sell delta supports long.","Low upside progress despite buy delta supports short.","soft","VH003;VH004;VH005;VH010","Handle zero/small delta safely.","Core absorption proxy."
"close_location_value","price_action","OHLC","(Close-Low)/(High-Low).","High/off-low supports bullish rejection.","Low/off-high supports bearish rejection.","soft","VH003;VH004;VH005;VH013","If range zero, set neutral 0.5.","Simple but useful."
"reversal_close_flag","confirmation","OHLC","Close rejects extreme beyond configured fraction.","Close off low after sell effort.","Close off high after buy effort.","soft","VH003;VH004;VH005","Configurable close-location threshold.","Test 0.5/0.65/0.75."
"next_bar_trigger_flag","confirmation","OHLC; tick size","Next bar trades in signal direction by confirmation ticks.","Next bar high/close triggers long.","Next bar low/close triggers short.","hard/soft","VH001;VH002;VH013","Avoid lookahead when exporting signal-time rows.","Compare close-only vs intrabar next bar."
"trigger_bars_elapsed","confirmation","state; OHLC","Bars from ConfirmedSignal to Triggered.","Faster long trigger is better.","Faster short trigger is better.","soft","VH014;VH018","Stateful signal tracking.","Use for trigger-window tests."
"mfe_1bar_ticks","outcome","OHLC after signal","Max favorable excursion one bar after trigger.","Early long validation.","Early short validation.","outcome","VH014","Outcome field, not signal-time field.","Avoid using for entry rules."
"mae_1bar_ticks","outcome","OHLC after signal","Max adverse excursion one bar after trigger.","Early long adverse risk.","Early short adverse risk.","outcome","VH014","Outcome field.","Needed for stop logic."
"mfe_3bar_ticks","outcome","OHLC after signal","Max favorable excursion over 3 bars.","Quick long response.","Quick short response.","outcome","VH014","Outcome field.","Core quick-response test."
"mfe_timeout_ticks","outcome","OHLC/time after signal","MFE over no-response timeout window.","Validates long if sufficient.","Validates short if sufficient.","outcome","VH014","Separate signal and outcome exports.","Test bars and minutes."
"no_response_flag","invalidation","state; MFE; time","True if MFE below threshold by timeout.","Long should be scratched/downgraded.","Short should be scratched/downgraded.","soft/rule","VH014","Emit state update, not initial signal value.","Management test."
"signal_high","price_action","OHLC","High of signal bar.","Stop reference for short invalidation.","Stop reference for short.","hard","all","Export raw value.","Needed for reproducibility."
"signal_low","price_action","OHLC","Low of signal bar.","Stop reference for long.","Stop reference for long invalidation.","hard","all","Export raw value.","Needed for reproducibility."
"signal_bar_range_ticks","risk","OHLC; tick size","Signal high-low divided by tick size.","Large range weakens long R.","Large range weakens short R.","soft","VH015","Use range percentile too.","Filter oversized bars carefully."
"signal_range_percentile","risk","OHLC history","Percentile of signal range over lookback.","High percentile may weaken long.","High percentile may weaken short.","soft","VH015","Default lookback configurable.","Test cap, not hard reject first."
"entry_reference","risk","state; OHLC","Reference entry price: close, next-bar trigger, reclaim.","Long entry basis.","Short entry basis.","hard","all","Do not assume fill quality in indicator.","Export for external backtest."
"stop_reference","risk","signal extreme; tick size","Signal low/high plus buffer.","Long stop below edge.","Short stop above edge.","hard","all","StopBufferTicks configurable.","Compare structural vs fixed stop."
"stop_distance_ticks","risk","entry; stop; tick size","Absolute entry-stop distance in ticks.","Lower distance improves long R.","Lower distance improves short R.","soft/hard cap","VH015;VH018","Hard max instrument-specific.","Key grade cap."
"reward_room_ticks","risk","entry; target/reference levels","Distance to first opposing reference level.","Room for long target.","Room for short target.","soft","VH015","Target logic not strongly sourced; keep optional.","Do not overfit target."
"absorption_score","absorption","delta; OHLC; footprint; levels","Effort-result failure plus close contradiction/repeated defense.","Passive buyers absorbing sellers.","Passive sellers absorbing buyers.","soft","VH002;VH003;VH004;VH005","Primary implementation is inference.","Log subcomponents."
"effort_result_score","absorption","delta; OHLC","High aggressive effort with low price progress.","Selling effort not moving lower.","Buying effort not moving higher.","soft","VH003;VH004;VH005","Use price_delta_efficiency.","Core absorption proxy."
"delta_contradiction_flag","absorption","OHLC; delta","Candle result conflicts with delta sign.","Green/off-low with negative delta supports long.","Red/off-high with positive delta supports short.","soft","VH003;VH004;VH005","Binary plus score.","Needs level filter."
"repeated_defense_count","absorption","footprint/OHLC; price zones","Count repeated failures at same price zone.","Repeated bid/support defense.","Repeated offer/resistance defense.","soft","VH003;VH013","Requires zone tolerance.","Can lag; useful as confluence."
"failed_acceptance_flag","failure","OHLC; levels","Price breaks level then closes back inside.","Failed breakdown supports long.","Failed breakout supports short.","hard/soft","VH007;VH008","Separate from sweep label.","Very testable."
"break_distance_ticks","failure","OHLC; level","Max distance beyond broken level.","Break below support extent.","Break above resistance extent.","soft","VH007;VH008","Need level price.","Too small may be wick noise."
"bars_outside_level","failure","OHLC; level","Bars spent outside before reclaim.","Fast reclaim better for long.","Fast rejection better for short.","soft","VH007","Stateful tracking.","Test 1-3 bars first."
"reclaim_flag","failure","OHLC; levels","Close/trade back through failed level.","Bullish reclaim after breakdown.","Bearish rejection after breakout.","hard/soft","VH007;VH008","Can be close-based or trade-based.","Close-based cleaner."
"sweep_flag","failure","OHLC; levels; volume","Temporary level breach with volume/delta spike.","Sweep below low then reclaim.","Sweep above high then reject.","soft","VH008","Do not call all wicks sweeps.","Secondary module."
"late_aggression_score","trapped_failure","delta; volume; levels","Aggressive flow percentile at poor location.","Late sellers potentially trapped.","Late buyers potentially trapped.","soft","VH009","Label as aggression failure, not certain trap.","Avoid psychological over-label."
"trap_zone_reversal_flag","trapped_failure","OHLC; trap zone","Price moves through likely trapped entry zone.","Shorts trapped if price rises through zone.","Longs trapped if price falls through zone.","soft","VH009","Trap zone approximated from signal bar/body/POC.","Experimental."
"initiative_score","failed_continuation","delta; volume; imbalances","Strength of initial directional push.","Strong sell initiative that may fail.","Strong buy initiative that may fail.","soft","VH010","Needs direction context.","Not a reversal without failure."
"follow_through_ticks","failed_continuation","OHLC after initiative","Price progress in initiative direction.","Low downside follow-through supports long failure.","Low upside follow-through supports short failure.","soft","VH010;VH011","Use before reversal trigger window.","Window sensitivity important."
"imbalance_direction","imbalance","footprint bid/ask","Dominant buy/sell imbalance direction.","Sell imbalance can fail bullish at low.","Buy imbalance can fail bearish at high.","soft","VH011;VH012","Depends on platform ratio settings.","Export raw ratio settings."
"stack_count","imbalance","footprint bid/ask","Adjacent imbalance count.","Sell stack at low can fail bullish.","Buy stack at high can fail bearish.","soft","VH011","Default 3 but configurable.","Threshold likely instrument-specific."
"imbalance_zone_reclaim_flag","imbalance","OHLC; imbalance zone","Price reclaims/losses failed imbalance zone.","Reclaim sell stack supports long.","Lose buy stack supports short.","hard/soft","VH011","Need zone high/low.","More important than stack print itself."
"inverse_imbalance_flag","imbalance_absorption","footprint; OHLC","Imbalance direction conflicts with candle result.","Sell imbalance inside bullish result supports absorption.","Buy imbalance inside bearish result supports absorption.","soft","VH012","Subfeature, not standalone.","Useful confluence."
"retest_count","retest","levels; OHLC","Number of tests of same level.","Second test can support long if weaker.","Second test can support short if weaker.","soft","VH013","Cap when too many tests.","Tolerance matters."
"retest_distance_ticks","retest","OHLC; level; tick size","Distance from retest extreme to prior level.","Close retest of support.","Close retest of resistance.","soft","VH013","Instrument-specific tolerance.","Avoid over-tight tolerance."
"delta_vs_first_test","retest","delta; level tests","Current test delta compared to first test.","Weaker selling on retest supports long.","Weaker buying on retest supports short.","soft","VH013","Requires storing prior test stats.","Good confluence feature."
"volume_percentile","volume","volume history","Current volume percentile over lookback.","High sell volume at low only if fails.","High buy volume at high only if fails.","soft","VH019","Use session-adjusted if possible.","Volume alone is not signal."
"climactic_failure_flag","volume_failure","volume; OHLC; levels","High volume at edge plus failed continuation.","Sell climax failure supports long.","Buy climax failure supports short.","soft","VH019","Cap below A+ without confluence.","Under-sampled."
"hard_cap_reason","scoring","all gates","Reason grade is capped: no data, no level, trend, stop, timing.","Explains long cap.","Explains short cap.","hard","VH018","Export string enum.","Critical for audit."
"invalidation_reason","invalidation","state; OHLC; delta","Reason signal invalidated: stop, acceptance, no response, opposite flow.","Why long failed.","Why short failed.","hard","all","State update field.","Use for failure-mode analysis."
"data_availability_flags","metadata","NT data series","Flags for footprint, delta, cumulative delta, imbalances, POC/value.","Shows long modules available.","Shows short modules available.","hard","all","Disable modules when missing.","Avoid false confidence in incomplete data."
