"hypothesis_id","setup_type","qualitative_claim","bullish_rule","bearish_rule","required_data","feature_columns_needed","candidate_thresholds","confirmation_rule","invalidation_rule","expected_edge","priority_score_1_to_5","implementation_difficulty_1_to_5","evidence_strength_from_transcripts_1_to_5","source_files","notes"
"H011","climactic volume failure","Large volume at an extreme only matters if it fails to continue.","Large sell-volume spike at low with poor downside continuation and rotation up; long.","Large buy-volume spike at high with poor upside continuation and rotation down; short.","OHLCV; footprint; delta; levels","volume_percentile; delta_percentile; extreme_location; close_location_value; next_bar_response; continuation_mfe_ticks","Use volume percentile, not absolute volume; default 90th percentile research start.","Post-spike bar rejects extreme or closes away from it.","Volume spike initiates continuation and price accepts beyond extreme.","Medium: high reward but false positives in news/trend.","3","3","3","20230118 - Big Volume In The Order Flow How To Interpret It And Trade It Orderflows Trading Strategy [SDz56_uVduQ].en.vtt | 20230924 - Stopping Volume In The Order Flow Using Orderflows Trader [RtAq1Xa1fPc].en.vtt","Under-sampled; do not make standalone."
"H012","retest confirmation reversal","A second test of a level with weaker order flow is cleaner than a blind first touch.","Retest of prior low/support holds with weaker selling delta or exhaustion; long after rejection.","Retest of prior high/resistance holds with weaker buying delta or exhaustion; short after rejection.","OHLCV; delta; footprint; swing/session levels","prior_level_price; retest_count; retest_distance_ticks; delta_vs_first_test; exhaustion_on_retest; rejection_close","No fixed threshold; use tick tolerance by instrument; avoid too many retests.","Retest bar closes away from level or next bar trades away.","Retest accepts through level with continuation.","High if level is clean and retest is weaker.","4","3","4","20230116 - How To Get The Most Out Of The Reversal Scalper For NT8 Analyze Order Flow For Reversals [R7lxd14t4Oc].en.vtt | 20260511 - My Favorite Order Flow Entry Model for ES [kDa3_a4Bezk].en.vtt","Partly interpretive but practical."
"H013","failed continuation reversal","When order flow should continue but does not, the failed continuation can reverse.","After strong sell flow fails to make more lows and price reclaims trigger bar, long.","After strong buy flow fails to make more highs and price loses trigger bar, short.","OHLCV; delta; footprint; imbalances; time","initiative_delta_percentile; expected_direction; follow_through_ticks; stall_bars; reversal_through_trigger","No hard threshold; use follow-through deficiency score.","Opposite move through trigger bar/level after failed continuation.","Pullback resolves and continuation resumes.","Medium-high: core principle but subjective trigger.","4","4","4","20260505 - Green Delta Trap - Why Positive Delta Can Still Be Bearish [i8oUsL2J9nQ].en.vtt | 20260530 - The Only Order Flow Strategy You Need The Exhaustion Entry Model [JF3zld5XDsM].en.vtt","Should be a soft score, not binary."
"H014","quick response management","Good exhaustion reversals should move quickly; stalling is negative edge.","For long signals, exit/scratch if no favorable excursion after configured bars/minutes.","For short signals, exit/scratch if no favorable excursion after configured bars/minutes.","OHLCV; time; entry price","bars_since_entry; minutes_since_entry; mfe_ticks; mae_ticks; no_response_flag","Directly supported principle: around 10 minutes mentioned for slow exhaustion trade; timeframe dependent.","Favorable movement appears soon after entry; otherwise reduce or exit.","No response or sideways churn after signal.","Improves risk and removes dead trades.","5","2","5","20260530 - The Only Order Flow Strategy You Need The Exhaustion Entry Model [JF3zld5XDsM].en.vtt","Use as management rule; too strict if applied across all timeframes."
"H015","context filter trend versus rotation","Setup type should match market condition; fading trend-day breakouts is lower quality.","Allow longs at range lows/support or failed breakdown; penalize countertrend longs during clean downside trend unless failure is explicit.","Allow shorts at range highs/resistance or failed breakout; penalize countertrend shorts during clean upside trend unless failure is explicit.","OHLCV; VWAP; initial balance; session range; volume profile levels","trend_day_score; rotational_day_score; ib_break_flag; vwap_slope; range_location; value_area_location","No fixed threshold; score context 0-25 in A+ model.","Signal aligns with context or explicitly fails a trend extension.","Strong trend continuation features remain intact.","Reduces false positives materially.","4","3","4","20230108 - Delta Divergence Strategy For Determining A Trend Day Volume Profile Tips Anchored VWAP Skills [jx7JbJWv5Yk].en.vtt | 20230113 - Order Flow Value Area Strategy Trading Volatile Markets Breaking Out Of Balance [FJ29ObXIUkE].en.vtt","Operationalizing context is necessary but subjective."
"H016","cash open timing filter","Signals directly before cash open are lower quality due to transition volatility.","Discount or block long signals in the final minutes before cash open unless explicitly tested.","Discount or block short signals in the final minutes before cash open unless explicitly tested.","Time/session; OHLCV; signal metadata","minutes_to_cash_open; minutes_after_cash_open; session_name; signal_score","Research default: block 5 minutes before cash open; test alternatives.","Only allow if post-open confirmation appears.","Pre-open signal gets chopped/stopped by open volatility.","Reduces bad timing trades.","3","1","3","20260528 - Understanding The Order Flow Exhaustion Entry Model Setup [IXCXUMo2iDQ].en.vtt","Directly supported caution, but exact time window is interpretation."
"H017","A+ confluence score","No single footprint feature is enough; A+ needs level, failure, confirmation, risk, and timing alignment.","Long when total score >= A+ threshold with bullish modules dominant.","Short when total score >= A+ threshold with bearish modules dominant.","All above data sources depending on modules enabled","level_score; orderflow_failure_score; confirmation_score; risk_score; timing_filter_score; total_score; grade","Working score: A+ >=80, A >=70, B >=60, C >=50; crude and should be optimized robustly.","At least one core module plus level and confirmation must be present.","Any hard invalidation overrides score.","Highest practical implementation path.","5","3","5","knowledge_base/02_APlus_Reversal_Operational_Model.md | evidence/*.md","Meta-hypothesis from synthesis; best first implementation."
"H018","large signal bar risk penalty","Large signal bars reduce quality because stops become worse and reward/risk degrades.","Penalize long signals where signal bar range is large versus recent bars.","Penalize short signals where signal bar range is large versus recent bars.","OHLCV; entry/stop prices","signal_bar_range_ticks; median_range_lookback; stop_distance_ticks; range_percentile","Crude default: penalize above 75th range percentile or stop distance above configured max.","Trade still needs next-bar confirmation and acceptable stop distance.","Oversized bar continues against entry or gives poor R multiple.","Medium: risk-quality filter not primary signal.","3","1","3","20260530 - The Only Order Flow Strategy You Need The Exhaustion Entry Model [JF3zld5XDsM].en.vtt","Interpretation from comments about big bars and stop quality."
"H019","second chance after immediate stop-out","If a valid exhaustion/absorption idea stops out by a tick but order flow thesis is unchanged, second chance may retain edge.","After long stop-out, allow one re-entry only if level is reclaimed and order-flow failure persists.","After short stop-out, allow one re-entry only if level is rejected again and order-flow failure persists.","OHLCV; footprint; delta; levels; prior trade state","prior_signal_id; stopped_out_flag; stop_out_distance_ticks; thesis_still_valid; reclaim_reject_flag; reentry_count","No default threshold; cap to one second-chance entry in tests.","Reclaim/rejection after stop-out plus same directional order-flow failure.","Fresh continuation invalidates thesis.","Potentially useful but risk of revenge re-entry.","2","4","3","20260512 - Order Flow Exhaustion Entry Model [zNFwOH0trr4].en.vtt","Mentioned as some traders use second chance; lower priority."
"H020","abandoned value or POC context","Abandoned POC/value area can act as high-confidence context for reversal or continuation decisions.","Long if failed breakdown/retest leaves prior value/POC untraded and price rotates up from support context.","Short if failed breakout/retest leaves prior value/POC untraded and price rotates down from resistance context.","OHLCV; volume profile/POC/value area; footprint","prior_bar_poc; prior_value_area_high; prior_value_area_low; value_area_retest_flag; abandoned_poc_flag; rotation_direction","No hard threshold; requires profile implementation and tick tolerance.","Price rejects away from abandoned value/POC zone.","Price trades back into and accepts inside value/POC zone.","Potentially strong but needs separate source validation.","2","4","2","20260507 - Order Flow Surrounding The Suspicious Crude Oil Trades [Swcnspl-ACc].en.vtt","Included because it emerged in source check, but underdeveloped in capped evidence. Verify later."
