"hypothesis_id","setup_type","qualitative_claim","bullish_rule","bearish_rule","required_data","feature_columns_needed","candidate_thresholds","confirmation_rule","invalidation_rule","expected_edge","priority_score_1_to_5","implementation_difficulty_1_to_5","evidence_strength_from_transcripts_1_to_5","source_files","notes"
"VH011","imbalance_failure","Stacked or clustered imbalances are continuation evidence until they fail; failure at edge is reversal evidence.","Sell imbalances/stack at support fail to continue and price reclaims imbalance zone; long.","Buy imbalances/stack at resistance fail to continue and price loses imbalance zone; short.","Footprint bid/ask volume; imbalance engine; OHLC; levels","imbalance_direction; stack_count; imbalance_ratio; imbalance_zone; follow_through_ticks; zone_reclaim","Candidate: stack_count>=3 and ratio configurable; test clustered imbalances too.","Opposite trade/close through imbalance zone.","Clean continuation in imbalance direction or retest holds.","Medium: context-sensitive.","3","3","4","20180720 - Orderflows Analysis Understanding Stacked Imbalances In Order Flow [VRexz_F1LTU].en.vtt | 20240823 - Trading Stacked Imbalances In Volatile Markets Using Orderflows Trader [7mQg03s95Ik].en.vtt","V2 avoids treating stacked imbalance itself as reversal."
"VH012","inverse_imbalance_absorption","An imbalance opposite the candle result can mark absorption and reversal potential.","Sell imbalance inside green/off-low candle at support strengthens long.","Buy imbalance inside red/off-high candle at resistance strengthens short.","Footprint bid/ask; OHLC; levels","inverse_imbalance_flag; candle_result; close_location_value; level_score; absorption_score","No hard threshold beyond configured imbalance engine; score as confluence.","Next bar follows candle result away from edge.","Price follows imbalance direction through edge.","Medium: promising but needs platform-consistent calculation.","3","4","3","20230115 - Orderflows Imbalances A Different And Effective Way Of Using Stacked Imbalances [GbYMh8fappw].en.vtt | 20260528 - Understanding The Order Flow Exhaustion Entry Model Setup [IXCXUMo2iDQ].en.vtt","Interpretive; useful as absorption subfeature."
"VH013","retest_rejection","A weaker second test of a level is higher quality than a blind first touch.","Retest support/low within tolerance with weaker selling, exhaustion, or absorption; long after rejection.","Retest resistance/high within tolerance with weaker buying, exhaustion, or absorption; short after rejection.","OHLCV; delta; footprint; levels","prior_level_price; retest_distance_ticks; test_count; delta_vs_first_test; exhaustion_on_retest; rejection_close","Use tick tolerance by instrument; cap if test_count >3.","Rejection close or next-bar directional trade away from level.","Acceptance through retest level.","High when combined with exhaustion/absorption.","4","3","4","20230116 - How To Get The Most Out Of The Reversal Scalper For NT8 Analyze Order Flow For Reversals [R7lxd14t4Oc].en.vtt | 20260511 - My Favorite Order Flow Entry Model for ES [kDa3_a4Bezk].en.vtt","Sharper than generic retest confirmation."
"VH014","quick_response_exit","A valid exhaustion reversal should work quickly; stalling is a reason to exit or downgrade.","For long, if MFE is below threshold after timeout, scratch/exit/downgrade.","For short, if MFE is below threshold after timeout, scratch/exit/downgrade.","OHLCV; time; entry/stop state","bars_since_trigger; minutes_since_trigger; mfe_ticks; mae_ticks; no_response_flag","Test 3/5/10 bars and 5/10 minutes; 10 minutes directly supported as principle in 1-min context.","Early MFE validates signal; no MFE triggers management exit.","No response or sideways churn beyond timeout.","Strong risk management edge.","5","2","5","20260530 - The Only Order Flow Strategy You Need The Exhaustion Entry Model [JF3zld5XDsM].en.vtt","Management rule, not setup trigger."
"VH015","signal_bar_risk_quality","Oversized signal bars make stops worse and reduce A+ quality.","Penalize long if signal bar range/stop distance is too large versus recent range.","Penalize short if signal bar range/stop distance is too large versus recent range.","OHLCV; entry/stop references","signal_bar_range_ticks; range_percentile; stop_distance_ticks; reward_room_ticks; risk_score","Research default: penalize above 75th range percentile; reject above max stop ticks by instrument.","Signal remains valid only if stop fits risk model.","Stop too wide or first target too close.","Medium: improves expectancy by filtering bad R.","4","1","3","20260530 - The Only Order Flow Strategy You Need The Exhaustion Entry Model [JF3zld5XDsM].en.vtt","Interpretive but practical and easy to test."
"VH016","context_regime_filter","Reversal signals need regime-aware scoring; trend continuation context should cap countertrend fades.","Allow long reversals at range lows/support or explicit failed breakdown; cap longs in intact downside trend.","Allow short reversals at range highs/resistance or explicit failed breakout; cap shorts in intact upside trend.","OHLCV; VWAP; session levels; initial balance; value area","regime_score; ib_break_flag; vwap_slope; range_location; value_area_location; trend_acceptance_flag","No hard universal threshold; use cap rules and score penalties.","Context agrees with reversal or failed acceptance explicitly overrides trend.","Trend acceptance remains intact and signal is only countertrend fade.","Reduces false positives; not a primary edge.","4","3","4","20230108 - Delta Divergence Strategy For Determining A Trend Day Volume Profile Tips Anchored VWAP Skills [jx7JbJWv5Yk].en.vtt | 20230113 - Order Flow Value Area Strategy Trading Volatile Markets Breaking Out Of Balance [FJ29ObXIUkE].en.vtt","V2 uses context as cap/weight, not a setup."
"VH017","session_timing_filter","Signals directly before cash open should be downscored or blocked until tested.","Downscore/block bullish signal in final minutes before cash open unless post-open confirmation occurs.","Downscore/block bearish signal in final minutes before cash open unless post-open confirmation occurs.","Session clock; OHLCV; signal metadata","session_phase; minutes_to_cash_open; minutes_after_cash_open; volatility_state","Research default: block/downscore 5 minutes before cash open; test 3/5/10.","Post-open confirmation can re-enable.","Pre-open signal gets chopped by session transition.","Medium: timing filter only.","3","1","3","20260528 - Understanding The Order Flow Exhaustion Entry Model Setup [IXCXUMo2iDQ].en.vtt","Caution supported; exact minutes are crude."
"VH018","a_plus_composite","A+ should require confluence: location + order-flow failure + confirmation + risk + timing.","Long if bullish total score >=82, no hard caps, at least one direct failure module and valid stop.","Short if bearish total score >=82, no hard caps, at least one direct failure module and valid stop.","All enabled module data","bull_location_score; bull_failure_score; bull_confirmation_score; bull_risk_score; bull_timing_score; bear_*; hard_cap_reason","Research grade: A+>=82, A>=72, B>=62, C>=50; optimize out-of-sample.","Confirmed/triggered state and early response; no provisional A+.","Any hard gate fail or acceptance beyond edge.","Highest practical path because it matches discretionary confluence.","5","3","5","knowledge_base/02_APlus_Reversal_Operational_Model.md | evidence/*.md","Meta-hypothesis. Prevents overfitting a single feature."
"VH019","climactic_volume_failure","Large volume at an extreme is only reversal evidence after it fails.","Large sell volume at low plus no downside continuation and reclaim; long.","Large buy volume at high plus no upside continuation and rejection; short.","OHLCV; footprint; delta; levels","volume_percentile; delta_percentile; edge_location; post_spike_continuation; reclaim_reject_flag","Research default: volume percentile >=90, but only as confluence.","Post-spike rejection/rotation away from edge.","Spike initiates continuation and accepts.","Medium-low standalone; useful confluence.","2","3","3","20230118 - Big Volume In The Order Flow How To Interpret It And Trade It Orderflows Trading Strategy [SDz56_uVduQ].en.vtt | 20230924 - Stopping Volume In The Order Flow Using Orderflows Trader [RtAq1Xa1fPc].en.vtt","V2 demotes because evidence says context matters more than size."
"VH020","second_chance_reentry","A one-tick/quick stop-out can still allow re-entry only if the original order-flow thesis remains valid.","After long stop-out, permit one re-entry if level is reclaimed and absorption/exhaustion still holds.","After short stop-out, permit one re-entry if level rejects again and absorption/exhaustion still holds.","OHLCV; footprint; delta; prior signal state","prior_signal_id; stopped_out_flag; stop_out_distance_ticks; thesis_valid_score; reentry_count; reclaim_reject_flag","No default threshold; cap at one re-entry; test separately from base entries.","Reclaim/rejection after stop-out plus same directional failure evidence.","Fresh continuation invalidates thesis.","Uncertain; potential improvement but risk of revenge logic.","2","4","3","20260512 - Order Flow Exhaustion Entry Model [zNFwOH0trr4].en.vtt","Keep experimental, not first build."
