video_number,inferred_date,inferred_title,video_id,source_vtt_path,cleaned_md_path,word_count,line_count,file_size_bytes,has_transcript,notes
38,2017-05-02,Orderflows Trade Analysis May 1 2017 Delta Scalper ES 6E ZB ZF ZS CL Futures Daytrading Order Flow,d9Lw1S-yj0w,C:\YTTranscripts\Orderflows_Dedup_v2\20170502 - Orderflows Trade Analysis May 1 2017 Delta Scalper ES 6E ZB ZF ZS CL Futures Daytrading Order Flow [d9Lw1S-yj0w].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0038_20170502_Orderflows_Trade_Analysis_May_1_2017_Delta_Scalper_ES_6E_ZB__d9Lw1S-yj0w.md,5085,687,245320,TRUE,
39,2017-05-03,Orderflows Market Analysis May 2 2017 ES CL ZS 6E ZB Futures Day Trading,gRdJq0Vyw6M,C:\YTTranscripts\Orderflows_Dedup_v2\20170503 - Orderflows Market Analysis May 2 2017 ES CL ZS 6E ZB Futures Day Trading [gRdJq0Vyw6M].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0039_20170503_Orderflows_Market_Analysis_May_2_2017_ES_CL_ZS_6E_ZB_Futures_gRdJq0Vyw6M.md,7944,1065,380158,TRUE,
40,2017-05-04,Orderflows Market Analysis May 3 2017 FOMC Day ES ZB ZF CL 6E futures trading,FwxTSqx8zWY,C:\YTTranscripts\Orderflows_Dedup_v2\20170504 - Orderflows Market Analysis May 3 2017 FOMC Day ES ZB ZF CL 6E futures trading [FwxTSqx8zWY].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0040_20170504_Orderflows_Market_Analysis_May_3_2017_FOMC_Day_ES_ZB_ZF_CL_6_FwxTSqx8zWY.md,8000,1066,382916,TRUE,
41,2017-05-05,Orderflows Market Analysis May 4 2017 ES ZF ZS Futures Day Trading Order Flow Trading,CFhXEpamh98,C:\YTTranscripts\Orderflows_Dedup_v2\20170505 - Orderflows Market Analysis May 4 2017 ES ZF ZS Futures Day Trading Order Flow Trading [CFhXEpamh98].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0041_20170505_Orderflows_Market_Analysis_May_4_2017_ES_ZF_ZS_Futures_Day_T_CFhXEpamh98.md,5354,712,256625,TRUE,
42,2017-05-06,Orderflows Market Analysis May 5 2017 Emini SP ZB ZS CL 6E FGBL Futures Day Trading Order Flow,uN1jItPqWW0,C:\YTTranscripts\Orderflows_Dedup_v2\20170506 - Orderflows Market Analysis May 5 2017 Emini SP ZB ZS CL 6E FGBL Futures Day Trading Order Flow [uN1jItPqWW0].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0042_20170506_Orderflows_Market_Analysis_May_5_2017_Emini_SP_ZB_ZS_CL_6E_F_uN1jItPqWW0.md,6574,907,321486,TRUE,
43,2017-05-10,Orderflows Market Analysis May 9 2017 ES ZB ZF ZS YM Order Flow Trade Recap,3eyQ8W-g5O4,C:\YTTranscripts\Orderflows_Dedup_v2\20170510 - Orderflows Market Analysis May 9 2017 ES ZB ZF ZS YM Order Flow Trade Recap [3eyQ8W-g5O4].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0043_20170510_Orderflows_Market_Analysis_May_9_2017_ES_ZB_ZF_ZS_YM_Order_F_3eyQ8W-g5O4.md,5035,673,241568,TRUE,
44,2017-05-11,Orderflows Market Analysis May 10 2017 ES ZF 6E ZS CL Futures Day Trading Order Flow,SANxmkmr79w,C:\YTTranscripts\Orderflows_Dedup_v2\20170511 - Orderflows Market Analysis May 10 2017 ES ZF 6E ZS CL Futures Day Trading Order Flow [SANxmkmr79w].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0044_20170511_Orderflows_Market_Analysis_May_10_2017_ES_ZF_6E_ZS_CL_Future_SANxmkmr79w.md,6989,917,333111,TRUE,
45,2017-05-14,Orderflows Market Analysis ay 12 2017 Day Trading Futures With Order Flow,zXrne65nhls,C:\YTTranscripts\Orderflows_Dedup_v2\20170514 - Orderflows Market Analysis ay 12 2017 Day Trading  Futures With Order Flow [zXrne65nhls].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0045_20170514_Orderflows_Market_Analysis_ay_12_2017_Day_Trading_Futures_Wi_zXrne65nhls.md,5953,836,292840,TRUE,
46,2017-05-16,Orderflows Market Analysis May 15 2017 Futures Day Trading Order Flow Recap,BuVbWg93CR4,C:\YTTranscripts\Orderflows_Dedup_v2\20170516 - Orderflows Market Analysis May 15 2017 Futures Day Trading Order Flow Recap [BuVbWg93CR4].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0046_20170516_Orderflows_Market_Analysis_May_15_2017_Futures_Day_Trading_O_BuVbWg93CR4.md,5358,738,258997,TRUE,
47,2017-05-17,Orderflows Market Analysis May 16 2017 Market Imbalance ES ZF ZS 6E,KuJiadsO7x4,C:\YTTranscripts\Orderflows_Dedup_v2\20170517 - Orderflows Market Analysis May 16 2017 Market Imbalance ES ZF ZS 6E [KuJiadsO7x4].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0047_20170517_Orderflows_Market_Analysis_May_16_2017_Market_Imbalance_ES_Z_KuJiadsO7x4.md,3641,486,174204,TRUE,
48,2017-05-18,Orderflows Market Analysis May 17 2017 ES Futures ZS ZB Japanese Yen Crude Oil Day Trading Order Flo,CGlAUdJf6ZY,C:\YTTranscripts\Orderflows_Dedup_v2\20170518 - Orderflows Market Analysis May 17 2017 ES Futures ZS ZB Japanese Yen Crude Oil Day Trading Order Flo [CGlAUdJf6ZY].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0048_20170518_Orderflows_Market_Analysis_May_17_2017_ES_Futures_ZS_ZB_Japa_CGlAUdJf6ZY.md,6236,848,300573,TRUE,
49,2017-05-21,Orderflows Market Analysis May 18 2017 ES ZB ZS 6E 6J 6B Futures Day Trading,_qFimyfwr3A,C:\YTTranscripts\Orderflows_Dedup_v2\20170521 - Orderflows Market Analysis May 18 2017 ES ZB ZS 6E 6J 6B Futures Day Trading [_qFimyfwr3A].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0049_20170521_Orderflows_Market_Analysis_May_18_2017_ES_ZB_ZS_6E_6J_6B_Fut__qFimyfwr3A.md,6204,836,297427,TRUE,
