hypothesis_id,setup_type,qualitative_claim,bullish_rule,bearish_rule,required_data,feature_columns_needed,candidate_thresholds,confirmation_rule,invalidation_rule,expected_edge,priority_score_1_to_5,implementation_difficulty_1_to_5,evidence_strength_from_transcripts_1_to_5,source_files,notes
H11,Delta surge (4 increasing bars),Four bars of increasing delta magnitude = momentum signal; act on the 4th (strongest).,"4 consecutive bars increasing |BarDelta| (positive) -> long on 4th, at/after a low.",Mirror (negative).,"Delta, OHLC",BarDelta series,run length=4; monotone increasing |delta|,Follow-through,Mid-range; no location,Fully specified rule he states explicitly,3,2,3,"Ch005/v172,Ch011,Ch018",More a momentum/continuation tool; include for completeness.
H12,Delta/market weakness (3 decreasing bars),Three+ bars of weakening |delta| (same sign) at an extreme = aggression dying ('water pressure').,>=3 consecutive bars decreasing |BarDelta| (negative) into a swing low -> reversal arm + flip.,Mirror at highs.,"Delta, OHLC",BarDelta series; high/low,run>=3; decreasing |delta|; location gate,Delta flips + follow-through,Not at extreme; delta re-accelerates,STARRED favorite (strength/weakness in context),4,3,4,"Ch011/v371,Ch089/v308,Ch069/v213",[FORCED] strict monotone; try %-drop/slope with K in 2-4.
H13,Strong-delta confirmation,'Strong' = final delta near its max and a high delta/volume ratio; confirms the new direction.,"After bullish trigger, require next-bar DeltaPercent>25% AND BarDelta>=0.95*MaxSeenDelta.",Mirror with MinSeenDelta.,"Delta, volume",DeltaPercent; BarDelta; MaxSeenDelta/MinSeenDelta,>25% (normal 5-15); 95% of max,Self (confirmation),Weak/contrary delta after entry,His quantified 'strong bar' definition,3,2,4,"Ch089/v308,Ch094/v350,Ch085/v284",[FORCED] 25%/95% are his examples; try z-score vs recent bars.
H14,Intrabar delta reversal (max/min vs close),"Read intrabar max/min delta, not just final: a bar swinging +max then closing strongly opposite = exhaustion.","At a new low, MinSeenDelta very negative but close BarDelta>=0 (absorbed) -> bullish.","At a new high, MaxSeenDelta very positive but close BarDelta<=0 -> bearish.",Footprint intrabar delta,MaxSeenDelta/MinSeenDelta; BarDelta; high/low,large |intrabar extreme| vs near-0 or opposite close,Follow-through,Final delta agrees with the failed direction,Repeated 'read max/min not final' instruction,4,3,4,"Ch003/v90,Ch028/v48,Ch094/v352",Needs intrabar delta capture; available via MaxSeenDelta/MinSeenDelta.
H15,Green Delta Trap,Strong positive delta at a high with no continuation = trapped buyers = bearish (and mirror).,Mirror: strong negative delta at a new low with no continuation -> bullish.,New N-high AND high DeltaPercent positive AND next bar fails higher high / delta not sustained -> short.,"Delta, OHLC",BarDelta; DeltaPercent; high/low; next-bar HH,DeltaPercent>25%; no higher-high next bar,Next bar fails to extend; delta fades,"Buyers continue (higher high, sustained positive delta)","Counter-intuitive, well-explained, named setup",4,2,4,"Ch016/v478,Ch101/v442,Ch097",Equivalent to 'delta divergence + no follow-through'.
H16,Stopping-volume reversal,Heavy volume that halts a move at the extreme = absorption wall; reverse when pressure removed.,Volume at the low level >= svPct of bar volume AND price fails to extend next bar AND decent absolute volume.,Mirror at highs.,"Footprint level volume, OHLC",level vol; bar vol; DeltaPerVolume,svPct=30% (tool default); decent vol>=rolling median,Fails to extend + reversal candle,Light volume; price keeps going,Long-standing concept; threshold is a tool default,3,3,3,"Ch001,Ch011,Ch015/v452","[FORCED] 30% is a default, not a stated edge."
H17,Prominent POC untested-next-bar,Prominent POC = line in the sand; valid only if next bar does not trade back into it.,Bullish PPOC near bar low at swing low AND next bar does not re-enter POC zone -> long.,Mirror.,"Footprint POC, OHLC",POCPrice/POCPosition; next-bar range,POC at extreme; not retraded next bar (binary),Untested next bar + follow-through,Next bar trades back through POC (invalidated),Repeated 'untested next bar' validity rule,3,3,4,"Ch061/v196,Ch094/v347,Ch007",POC-on-extreme obsolete on e-mini; use prominent POC.
H18,Abandoned value area,Value area + POC both untraded on the next bar after balancing = high-confidence reversal/continuation level.,Bullish VA at swing low AND next-bar range does not enter VA -> long; 2 consecutive abandoned VAs stronger.,Mirror.,"Value-area build, OHLC",value-area hi/lo; POCPrice; next-bar range,next-bar ∩ VA = empty; consecutive count,Abandonment + follow-through,VA retraded next bar,Called 'highest confidence / favorite / gold signal',4,4,4,"Ch100/v420,Ch102/v479,Ch094/v355,Ch103",Needs robust value-area construction in NT.
H19,Location gate (swing extreme),A signal only counts at/within ~1 tick of a clean swing high/low or HOD/LOD after a real move; mid-move = skip.,Require signal bar to be within tol ticks of a new N-bar swing extreme or HOD/LOD AND prior move >= moveMin.,Mirror.,"OHLC, ATR, session levels",swing hi/lo (N); HOD/LOD; ATR; prior-move displacement,tol~1 tick; N=swing; moveMin = ATR-relative (PARAM),n/a (gate),n/a,The single strongest discriminator he repeats,5,2,5,"Ch004/v145,Ch011,Ch017/v496,Ch089/v308",moveMin 'big move into level' has NO stated number -> [FORCED]; sweep ATR-relative.
H20,Catalyst filter (unchanged/open),Exhaustion near 'unchanged'/open has no catalyst; right after major numbers prints are wonky.,"Suppress signals within c ticks of session open / prior close, and for M minutes after CPI/PPI/NFP/inventories.",Same.,"Session levels, economic calendar, time",session open; prior close; timestamp,c ticks (PARAM); M minutes post-number,n/a (filter),n/a,Repeated stay-out rule; uses a literal 'unchanged' line,4,2,4,"Ch016/v487,Ch017/v497,Ch085/v287",Economic-calendar feed needed for the news part; 'unchanged' line is trivial.
H21,Big-bar risk filter,A wide signal bar forces a wide stop and lowers quality ('scared of bars like this').,Suppress/downgrade if signal-bar range > k*ATR.,Same.,"OHLC, ATR",bar range; ATR,k ~ 1.5-2 (PARAM),n/a (filter),n/a,Explicit setup-selection rule about stop feasibility,3,2,3,Ch017/v498,Pure risk filter; tune k by instrument.
H22,Imbalance staleness,"Stacked imbalances are immediate-term S/R only (~5 bars), NOT durable; stale ones mislead.",Ignore imbalance/zone as active if older than decay bars.,Same.,"Footprint imbalance, bar index",imbalance bar index; current bar,decay ~5 bars (4-5),n/a (filter),n/a,Contradicts common 'lasting S/R' belief; he is explicit,3,1,4,"Ch001/v8,Ch018/v13","Cheap, high-value filter."
H23,Second-chance re-entry,A single 1-tick stop-out does not invalidate the read; re-enter if order flow unchanged.,"After a stop-out with no change in delta/imbalance picture, allow ONE re-entry on a fresh follow-through.",Mirror.,"OHLC, delta, footprint",stop event; BarDelta; imbalance state,max 1 re-entry; 'order flow unchanged' test,Fresh follow-through bar,Order flow flipped against; 2nd stop,Repeated management rule (tight stop + re-enter),3,3,4,"Ch016/v481,Ch017/v496",Backtest as a management overlay; measures whether re-entry adds expectancy.
H24,Composite A+ score vs realized MFE,"Confluence stacking ranks setup quality (A+ > A > B), though he says it is not pure arithmetic.",Compute gated weighted score (file 02 sec 3); test monotonic relationship of grade with realized MFE/MAE.,Same.,All of the above,all feature columns,weights/cutoffs from file 02 (to tune),n/a (meta),n/a,Validates whether his verbal tiers map to a usable score,4,4,3,"Ch016,Ch102/v471,Ch085/v284","[FORCED] biggest simplification: he says '6 plots != buy'. Treat as ranking, validate empirically."
