hypothesis_id,setup_type,qualitative_claim,bullish_rule,bearish_rule,required_data,feature_columns_needed,candidate_thresholds,confirmation_rule,invalidation_rule,expected_edge,priority_score_1_to_5,implementation_difficulty_1_to_5,evidence_strength_from_transcripts_1_to_5,source_files,notes
H11,Delta surge (4 increasing bars),Four bars of increasing delta magnitude = momentum signal; act on the 4th (strongest).,"4 consecutive bars increasing |BarDelta| (positive) -> long on 4th, at/after a low.",Mirror (negative).,"Delta, OHLC",BarDelta series,run length=4; monotone increasing |delta|,Follow-through,Mid-range; no location,Fully specified rule he states explicitly,3,2,3,"Ch005/v172,Ch011,Ch018",More a momentum/continuation tool; include for completeness.
H12,Delta/market weakness (3 decreasing bars),Three+ bars of weakening |delta| (same sign) at an extreme = aggression dying ('water pressure').,>=3 consecutive bars decreasing |BarDelta| (negative) into a swing low -> reversal arm + flip.,Mirror at highs.,"Delta, OHLC",BarDelta series; high/low,run>=3; decreasing |delta|; location gate,Delta flips + follow-through,Not at extreme; delta re-accelerates,STARRED favorite (strength/weakness in context),4,3,4,"Ch011/v371,Ch089/v308,Ch069/v213",[FORCED] strict monotone; try %-drop/slope with K in 2-4.
H13,Strong-delta confirmation,'Strong' = final delta near its max and a high delta/volume ratio; confirms the new direction.,"After bullish trigger, require next-bar DeltaPercent>25% AND BarDelta>=0.95*MaxSeenDelta.",Mirror with MinSeenDelta.,"Delta, volume",DeltaPercent; BarDelta; MaxSeenDelta/MinSeenDelta,>25% (normal 5-15); 95% of max,Self (confirmation),Weak/contrary delta after entry,His quantified 'strong bar' definition,3,2,4,"Ch089/v308,Ch094/v350,Ch085/v284",[FORCED] 25%/95% are his examples; try z-score vs recent bars.
H14,Intrabar delta reversal (max/min vs close),"Read intrabar max/min delta, not just final: a bar swinging +max then closing strongly opposite = exhaustion.","At a new low, MinSeenDelta very negative but close BarDelta>=0 (absorbed) -> bullish.","At a new high, MaxSeenDelta very positive but close BarDelta<=0 -> bearish.",Footprint intrabar delta,MaxSeenDelta/MinSeenDelta; BarDelta; high/low,large |intrabar extreme| vs near-0 or opposite close,Follow-through,Final delta agrees with the failed direction,Repeated 'read max/min not final' instruction,4,3,4,"Ch003/v90,Ch028/v48,Ch094/v352",Needs intrabar delta capture; available via MaxSeenDelta/MinSeenDelta.
H15,Green Delta Trap,Strong positive delta at a high with no continuation = trapped buyers = bearish (and mirror).,Mirror: strong negative delta at a new low with no continuation -> bullish.,New N-high AND high DeltaPercent positive AND next bar fails higher high / delta not sustained -> short.,"Delta, OHLC",BarDelta; DeltaPercent; high/low; next-bar HH,DeltaPercent>25%; no higher-high next bar,Next bar fails to extend; delta fades,"Buyers continue (higher high, sustained positive delta)","Counter-intuitive, well-explained, named setup",4,2,4,"Ch016/v478,Ch101/v442,Ch097",Equivalent to 'delta divergence + no follow-through'.
H16,Stopping-volume reversal,Heavy volume that halts a move at the extreme = absorption wall; reverse when pressure removed.,Volume at the low level >= svPct of bar volume AND price fails to extend next bar AND decent absolute volume.,Mirror at highs.,"Footprint level volume, OHLC",level vol; bar vol; DeltaPerVolume,svPct=30% (tool default); decent vol>=rolling median,Fails to extend + reversal candle,Light volume; price keeps going,Long-standing concept; threshold is a tool default,3,3,3,"Ch001,Ch011,Ch015/v452","[FORCED] 30% is a default, not a stated edge."
H17,Prominent POC untested-next-bar,Prominent POC = line in the sand; valid only if next bar does not trade back into it.,Bullish PPOC near bar low at swing low AND next bar does not re-enter POC zone -> long.,Mirror.,"Footprint POC, OHLC",POCPrice/POCPosition; next-bar range,POC at extreme; not retraded next bar (binary),Untested next bar + follow-through,Next bar trades back through POC (invalidated),Repeated 'untested next bar' validity rule,3,3,4,"Ch061/v196,Ch094/v347,Ch007",POC-on-extreme obsolete on e-mini; use prominent POC.
H18,Abandoned value area,Value area + POC both untraded on the next bar after balancing = high-confidence reversal/continuation level.,Bullish VA at swing low AND next-bar range does not enter VA -> long; 2 consecutive abandoned VAs stronger.,Mirror.,"Value-area build, OHLC",value-area hi/lo; POCPrice; next-bar range,next-bar ∩ VA = empty; consecutive count,Abandonment + follow-through,VA retraded next bar,Called 'highest confidence / favorite / gold signal',4,4,4,"Ch100/v420,Ch102/v479,Ch094/v355,Ch103",Needs robust value-area construction in NT.
H19,Location gate (swing extreme),A signal only counts at/within ~1 tick of a clean swing high/low or HOD/LOD after a real move; mid-move = skip.,Require signal bar to be within tol ticks of a new N-bar swing extreme or HOD/LOD AND prior move >= moveMin.,Mirror.,"OHLC, ATR, session levels",swing hi/lo (N); HOD/LOD; ATR; prior-move displacement,tol~1 tick; N=swing; moveMin = ATR-relative (PARAM),n/a (gate),n/a,The single strongest discriminator he repeats,5,2,5,"Ch004/v145,Ch011,Ch017/v496,Ch089/v308",moveMin 'big move into level' has NO stated number -> [FORCED]; sweep ATR-relative.
H20,Catalyst filter (unchanged/open),Exhaustion near 'unchanged'/open has no catalyst; right after major numbers prints are wonky.,"Suppress signals within c ticks of session open / prior close, and for M minutes after CPI/PPI/NFP/inventories.",Same.,"Session levels, economic calendar, time",session open; prior close; timestamp,c ticks (PARAM); M minutes post-number,n/a (filter),n/a,Repeated stay-out rule; uses a literal 'unchanged' line,4,2,4,"Ch016/v487,Ch017/v497,Ch085/v287",Economic-calendar feed needed for the news part; 'unchanged' line is trivial.
H21,Big-bar risk filter,A wide signal bar forces a wide stop and lowers quality ('scared of bars like this').,Suppress/downgrade if signal-bar range > k*ATR.,Same.,"OHLC, ATR",bar range; ATR,k ~ 1.5-2 (PARAM),n/a (filter),n/a,Explicit setup-selection rule about stop feasibility,3,2,3,Ch017/v498,Pure risk filter; tune k by instrument.
H22,Imbalance staleness,"Stacked imbalances are immediate-term S/R only (~5 bars), NOT durable; stale ones mislead.",Ignore imbalance/zone as active if older than decay bars.,Same.,"Footprint imbalance, bar index",imbalance bar index; current bar,decay ~5 bars (4-5),n/a (filter),n/a,Contradicts common 'lasting S/R' belief; he is explicit,3,1,4,"Ch001/v8,Ch018/v13","Cheap, high-value filter."
H23,Second-chance re-entry,A single 1-tick stop-out does not invalidate the read; re-enter if order flow unchanged.,"After a stop-out with no change in delta/imbalance picture, allow ONE re-entry on a fresh follow-through.",Mirror.,"OHLC, delta, footprint",stop event; BarDelta; imbalance state,max 1 re-entry; 'order flow unchanged' test,Fresh follow-through bar,Order flow flipped against; 2nd stop,Repeated management rule (tight stop + re-enter),3,3,4,"Ch016/v481,Ch017/v496",Backtest as a management overlay; measures whether re-entry adds expectancy.
H24,Composite A+ score vs realized MFE,"Confluence stacking ranks setup quality (A+ > A > B), though he says it is not pure arithmetic.",Compute gated weighted score (file 02 sec 3); test monotonic relationship of grade with realized MFE/MAE.,Same.,All of the above,all feature columns,weights/cutoffs from file 02 (to tune),n/a (meta),n/a,Validates whether his verbal tiers map to a usable score,4,4,3,"Ch016,Ch102/v471,Ch085/v284","[FORCED] biggest simplification: he says '6 plots != buy'. Treat as ranking, validate empirically."
H25,Intrabar delta hidden-flip (give-back),"Read intrabar Max/Min delta vs close, not close alone: a bar closing near 0/opposite after a large intrabar extreme = absorption/exhaustion ('hidden flip').",At a swing low: MinSeenDelta strongly negative AND close BarDelta >= ~0 (large give-back) -> bullish; confirm with follow-through.,"Mirror at swing high: MaxSeenDelta strongly positive, close BarDelta <= 0.","Footprint intrabar delta, OHLC",MaxSeenDelta; MinSeenDelta; BarDelta; high/low,give-back 'closes far inside extreme' (examples 80-96%); NO hard % (NEEDS-OP),Follow-through within 1-2 bars; delta builds in trade direction,Close-delta keeps trending in the failed direction (no give-back),Close delta alone is misleading; intrabar path reveals the flip (most-reconfirmed v2 refinement),5,3,5,"Ch082/v256,Ch049,Ch084,Ch111,Ch022,Ch030,Ch091,Ch092,Ch110","v2 NEW. Keep give-back SOFT ('closes far inside'), not a hard %. Needs MaxSeenDelta/MinSeenDelta capture."
H26,Multiple >= stacked imbalance (earlier fire),Multiple (3+ non-consecutive in a bar) imbalances rank equal-or-ABOVE stacked and fire ~2 bars / ~5 pts earlier.,BuyImbalanceCount>=3 in a bar at a swing low -> enter on follow-through; prefer over waiting for a consecutive stack.,Mirror with SellImbalanceCount.,"Footprint imbalance, OHLC",BuyImbalanceCount/SellImbalanceCount; TopBuyStackMax/BottomSellStackMax,count>=3 (>=2 on fast 4-range/tick charts); ratio 4:1; minvol per-instrument,Follow-through,Mid-move; no follow-through,Tiering inversion vs assumed stacked-primacy; earlier entry = smaller stop,4,2,4,"Ch033,Ch044,Ch049,Ch055,Ch056,Ch066,Ch068,Ch071,Ch072,Ch111",v2 NEW; refines H09. Backtest the 'earlier/more profitable than stacked' claim.
H27,Ratio two-tier soft + binary (non-graded),Ratio is a binary above/below flag (magnitude does NOT grade quality); high tier 28 watch / 30 preferred; low ~0.69-0.77; platform/era calibrated (2017=7).,Bullish: ratio <= RatioLow (~0.69-0.77) at a new/equal low with positive delta + price action.,Bearish: ratio >= RatioHigh (28 watch / 30 preferred) at a new/equal high with negative delta.,"Footprint ratio, delta, OHLC",ratio; BarDelta; high/low,"RatioHigh 28(watch)/30(pref); RatioLow ~0.69 (NT 0.7699); binary, magnitude not graded",Next bar follow-through,Divergence/ratio alone; opposite next-bar ratio,Refines the flat v1 >=30/<=0.69 to a calibrated soft floor; stops over-weighting big ratios,4,4,4,"Ch025,Ch049,Ch109,Ch111,Ch032/v66,Ch029,Ch034",v2 REFINES H04. Ratio formula still undisclosed -> reproduce + validate; do NOT grade by magnitude.
H28,Follow-through gate timeframe-conditional,The 2-tick/2-bar follow-through gate is the load-bearing quality filter (~25-45% cull) but is OFF on >=5-min charts and for ultra bonds/palm oil.,Require next 1-2 bars break signal extreme by buf -> else no trade; DISABLE on >=5-min charts.,Mirror.,"OHLC, chart timeframe/instrument",high/low; bar index; timeframe; instrument,1-2 ticks / 1-2 bars (max 5/5); disabled >=5-min and for ultra bonds/palm oil,Self,No break in window (on charts where gate applies),Quantified ~25-45% signal cull; the single biggest expectancy lever,5,2,5,"Ch049,Ch062,Ch070,Ch073,Ch105,Ch111,Ch112",v2 REFINES H03. Timeframe-conditionality is new and important; do not apply gate on >=5-min.
H29,Time stop ~1hr / chart-speed scaled,Order-flow trades get ~1 hour (slow instruments) not a fixed 10 min; order-flow info freshness ~30-60 min and degrades beyond a 5-min chart.,"Scratch if no progress within TimeStop (scaled by chart speed: ~10 min fast tick, ~30-60 min slow).",Mirror.,"Time, OHLC",bars-since-entry; timeframe; instrument,TimeStop ~10 min (fast tick) to ~60 min (slow); freshness window 30-60 min,n/a,n/a,Corrects v1 ~10-min; wrong setting bleeds winners or holds losers,3,2,4,"Ch027,Ch029,Ch031,Ch036,Ch040,Ch073,Ch105",v2 CORRECTS the v1 ~10-min time stop. Parameter scaled by chart speed.
H30,Back-to-back POC magnet,2+ consecutive bars sharing the exact POC price = a defended level; trade the RETURN to it after price leaves.,Mark level where >=2 consecutive bars share POC price; on return to within X ticks at a swing -> reversal entry.,Mirror.,"Footprint POC, OHLC",POCPrice (per-bar series); high/low,>=2 consecutive same POC (3+ = stronger); return within X ticks; stop few ticks beyond,Follow-through on the retest,Price keeps sitting at the level (no leave-and-return); breaks through,New magnet/level setup; clean to detect,3,3,3,"Ch082/v259,Ch090,Ch091",v2 NEW. Single-source-rich; confirm in backtest. Only valid after price LEAVES the level.
H31,Order-flow sequencing = continuation (suppressor),"Escalating volume eaten THROUGH successive levels = continuation, not reversal; use to suppress counter-trend fades.",If volume is increasing as price clears successive levels -> SUPPRESS bullish/bearish reversal signals (trend regime).,Same (symmetric).,"Footprint level volume, OHLC",per-level volume across bars; level breaks,increasing volume through >=2-3 levels,n/a (filter),n/a,False-positive filter against fading trends,3,3,3,"Ch058,Ch059,Ch063,Ch065,Ch071,Ch080",v2 NEW (anti-signal). Related to the flow-driven regime filter.
H32,Delta-sign context + pos-delta-at-low disambiguation,Negative delta on a green/rising bar = bullish absorption; positive delta on a red/falling bar = bearish supply. Positive delta at a low can be absorption-bullish OR distribution-bearish.,Disambiguate pos-delta-at-new-low via footprint: offer-side dominance at the low = bearish continuation; bid-side absorption = bullish.,Mirror at highs.,"Footprint per-level bid/ask, delta, OHLC",BarDelta; close>open; per-level BidVol/AskVol at extreme,sign(delta) vs candle color (hard branch); bid-vs-offer at extreme,Follow-through agrees with the absorption read,Offer-side dominance at a low keeps trading lower,Most-reconfirmed delta refinement; prevents polarity misreads,4,3,5,"Ch030,Ch031,Ch038,Ch042,Ch049,Ch064,Ch079,Ch083,Ch084,Ch087,Ch092,Ch096","v2 NEW (promotes a v1 nuance to a hard branch). Needs per-level bid/ask, not just bar delta."
H33,Stacked-imbalance quality refinements,Min count drops to 2 on fast charts; low cell-volume stacks are downgraded; position-within-bar has NO predictive edge.,Accept >=2 stacked on 4-range/fast-tick; require decent cell volume; do NOT weight top/mid/bottom position.,Mirror.,"Footprint imbalance + volume, chart timeframe",TopBuyStackMax/BottomSellStackMax; cell volume; timeframe,count>=3 (>=2 fast charts); cell vol >= rolling median; ignore position-in-bar,Close beyond + follow-through,Low-volume 'pathetic' stack; stale (>5 bars),Refines stacked rule; position-no-edge removes a plausible-but-false feature,3,2,4,"Ch020,Ch021,Ch048,Ch062,Ch066,Ch084,Ch093",v2 REFINES H07. Position-within-bar tested = no edge (drop it).
H34,Zero/near-zero delta = noise (filter),"Zero or near-zero delta is noise, not a signal.",Suppress signals whose defining bar has |BarDelta| ~ 0 (within NeutralBand).,Same.,Delta,BarDelta; NeutralBand,"NeutralBand ~+/-50 ES (+/-25 FX, +/-150 heavy ES)",n/a (filter),n/a,Cuts noise bars masquerading as signals,3,1,4,"Ch082,Ch065,Ch034,Ch038",v2 NEW. NeutralBand is instrument+timeframe scaled.
H35,Immediate opposite next-bar signal = high failure,A buy signal immediately followed by a bearish next-bar signal (or vice versa) has a very high failure rate.,Void a long candidate if the next bar prints an opposing reversal signal/ratio.,Mirror.,"OHLC, footprint signals",signal flags per bar; ratio,opposite signal within 1 bar,n/a (invalidation),Self,Extends 'kiss of death' to opposing-signal case,3,2,4,Ch032/v67,v2 NEW (invalidation). From retried chunk 032.
H36,Doji / stacked-after-extended-move = skip,"Doji bars are neutral/skip; stacked imbalances appearing AFTER an extended move = chasing, low quality.",Suppress signals on doji bars and stacked imbalances that print after a large prior move (location/over-extension filter).,Same.,"OHLC, ATR, footprint",bar body/range; prior-move displacement; imbalance bar,doji body ~0; prior move > over-extension threshold,n/a (filter),n/a,Two cheap quality filters,2,2,3,Ch032/v63,v2 NEW. Over-extension is the location discriminator applied to imbalances.
H37,Exhaustion threshold instrument-scaled (NOT single-digit),"Exhaustion/thin-print threshold scales with liquidity: 10yr ~50, NQ ~3, ES ~0, gold <=3-7, euro <=2-7 (contradicts universal 'single digits').",ExpVol set per-instrument (or dynamic low-percentile of recent per-level volume).,Mirror.,Footprint level volume,BidVol/AskVol at extreme; per-instrument ExpVol,10yr~50; NQ~3; ES~0; gold<=3-7; euro<=2-7; or dynamic low-percentile,Follow-through,n/a,Corrects a contradiction; hard-coding single-digit kills it on liquid markets,4,2,5,"Ch064,Ch079,Ch058,Ch093,Ch054",v2 REFINES H01. Strongly per-instrument; prefer dynamic percentile.
H38,Volume-in-value (Stratum) orthogonal confirm,Volume distribution within the value area (NOT delta-based) is a separate confirmation axis.,Use a value-area volume-distribution skew as optional confirmation of a delta/imbalance reversal; do not stack mechanically.,Mirror.,"Footprint per-level volume, value area",per-level volume within VA; value-area hi/lo,distribution skew (tool magnitude 1-5 per instrument),Agrees with primary trigger + follow-through,Disagrees / no follow-through,Orthogonal axis; may add lift but he warns against mechanical stacking,2,4,3,Ch082/v257,v2 NEW (Subj). Keep separate from the delta engine; optional.
