"hypothesis_id","model_variant","base_setup_type","enhancement_type","qualitative_claim","bullish_rule","bearish_rule","required_exported_columns","causal_timing_rule","feature_role","expected_edge","failure_mode","priority_score_1_to_5","implementation_difficulty_1_to_5","notes"
"MD011","C_BASELINE_L2_TIMING","edge_exhaustion_at_location","L2_assisted_timing","L2 can improve entry timing around a baseline footprint signal.","For baseline long, enter on first book-pressure flip/replenishment after confirmed footprint edge instead of fixed next-bar trigger.","For baseline short, enter on first ask-pressure flip/replenishment after confirmed footprint edge instead of fixed next-bar trigger.","baseline_signal_timestamp; l2_book_pressure; l2_microprice; l2_replenish_rate; l2_timing_trigger_timestamp; entry_reference","Timing trigger must occur after baseline signal and before hypothetical entry; compare delayed fill honestly.","timing_refinement","May reduce MAE and improve entry quality.","May miss fast reversals or chase after move starts.","4","5","Separate from confirmation-only tests."
"MD012","C_BASELINE_L2_SOFT","delta_trap_at_edge","microprice_divergence","Microprice/book pressure diverging from price can reveal hidden book support/supply.","Price makes lower low while microprice stops falling or rises; boost long signal.","Price makes higher high while microprice stops rising or falls; boost short signal.","l2_microprice; l2_microprice_slope; price_extreme_type; microprice_divergence_score; edge_price","Use microprice up to signal/confirmation time only.","score_boost","Earlier warning than footprint close.","Microprice noisy in thin/fast books; can overfit.","3","4","Soft score only initially."
"MD013","C_BASELINE_L2_VETO","all_baseline_reversals","spread_quote_instability_veto","Unstable quotes/spread can make footprint reversal signals unreliable.","Veto or downscore long if spread widens and quote churn is extreme at signal.","Veto or downscore short if spread widens and quote churn is extreme at signal.","spread_at_signal; spread_percentile; quote_velocity; order_book_churn; quote_instability_flag","Use quote state at/before signal only.","veto_or_penalty","Avoids bad fills and fake liquidity signals.","May remove good event-driven reversals.","3","3","Start as risk penalty, not hard veto."
"MD014","C_BASELINE_L2_CONFIRM_INVALIDATE","absorption_to_exhaustion","L2_confirmation_plus_invalidation","Depth can confirm absorption and invalidate quickly if passive side vanishes.","Confirm long if bid replenishes; invalidate if bid pulls and price accepts below edge.","Confirm short if ask replenishes; invalidate if ask pulls and price accepts above edge.","l2_replenish_rate; l2_pull_rate; edge_price; acceptance_beyond_level; invalidation_timestamp","Confirmation/invalidation timestamps must be explicit; no post-hoc use.","confirmation_and_invalidation","May reduce losers faster.","Can overreact to normal book flicker.","4","5","Test after soft L2 score is proven."
"MD015","D_FULL_SOFT","absorption_to_exhaustion","TICK_plus_L2_soft","Best reversals may show local passive defense plus broad-market exhaustion.","Long if baseline signal plus TICK negative extreme/divergence plus bid-depth support/replenishment.","Short if baseline signal plus TICK positive extreme/divergence plus ask-depth support/replenishment.","baseline_*; tick_*; l2_depth_*; l2_replenish_*; model_variant_label","All features must be available at signal or delayed confirmation timestamp.","score_boost","Highest confluence version without brittle veto.","May reduce frequency too far; features may be redundant.","5","5","Full soft model before full hard model."
"MD016","D_FULL_HARD_VETO","all_baseline_reversals","TICK_L2_hard_veto","Hard veto version tests whether internals/depth should block weak baseline signals.","Long baseline is vetoed if TICK confirms downside and bid depth pulls/does not replenish.","Short baseline is vetoed if TICK confirms upside and ask depth pulls/does not replenish.","tick_veto_flag; l2_veto_flag; baseline_signal_id; veto_reason","Veto must occur at/before entry timestamp.","veto","Potential large false-positive reduction.","Can delete too many winners and create hindsight filters.","3","5","Only after soft model shows monotonic value."
"MD017","E_STRICT_A_PLUS","composite_a_plus_score","strict_grade_policy","Strict A+ tests quality over frequency.","Only A+ baseline/enhanced signals with no hard caps and strongest confirmation are tradable.","Only A+ baseline/enhanced signals with no hard caps and strongest confirmation are tradable.","grade; total_score; hard_cap_reason; active_modules; model_variant_label","Grade known at signal/confirmation time only.","model_policy","Higher expectancy, lower frequency.","Too few trades, missed A/B winners.","4","2","Compare against broad A/B model."
"MD018","E_BROAD_A_B","composite_a_plus_score","broad_grade_policy","Broader A/B model may capture more total expectancy despite lower quality.","Allow A+ and A/B signals with smaller size or wider management rules.","Allow A+ and A/B signals with smaller size or wider management rules.","grade; total_score; hard_cap_reason; active_modules; model_variant_label","Grade known at signal/confirmation time only.","model_policy","Higher sample size and possibly better total PnL.","More false positives and drawdown.","4","2","Must compare expectancy and drawdown, not win rate alone."
"MD019","C_BASELINE_L2_SOFT","resting_liquidity_at_prior_extreme","resting_liquidity_level","Resting liquidity at prior high/low may act as a magnet or rejection point.","At prior low/support, visible bid liquidity resting/replenishing strengthens long rejection.","At prior high/resistance, visible ask liquidity resting/replenishing strengthens short rejection.","resting_bid_at_prior_low; resting_ask_at_prior_high; depth_at_edge_1_3_5_10; edge_price","Snapshot before/at signal only; later resting liquidity is outcome.","score_boost","Improves level quality with real book context.","Displayed liquidity may pull before fill.","4","4","Treat as level-quality enhancer."
"MD020","C_BASELINE_L2_SOFT","sweep_failure","before_during_after_sweep_depth","Depth behavior around sweep distinguishes stop run from true breakout.","Before/during downside sweep, bid liquidity absorbs/replenishes and book flips after reclaim; long.","Before/during upside sweep, ask liquidity absorbs/replenishes and book flips after rejection; short.","depth_before_sweep_*; depth_at_sweep_*; depth_after_sweep_*; sweep_trade_volume; reclaim_flag","If after-sweep depth is used, entry must be delayed or labeled confirmation model.","confirmation","More precise failed-sweep diagnosis.","Complex and easy to leak future info.","4","5","Use event windows with strict timestamps."
